,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
593,Russia,Voronezh Oblast,50.9800393,40.1506507,192867,6826,0,1640596874000.0
594,Russia,Yamalo-Nenets Autonomous Okrug,67.1471631,74.3415488,61651,950,0,1640596874000.0
595,Russia,Yaroslavl Oblast,57.7781976,39.0021095,84623,1832,0,1640596874000.0
596,Russia,Zabaykalsky Krai,52.248521,115.956325,95376,1806,0,1640596874000.0
597,Rwanda,,-1.9403,29.8739,105027,1347,0,1640596874000.0
598,Saint Kitts and Nevis,,17.357822,-62.782998,2843,28,0,1640596874000.0
599,Saint Lucia,,13.9094,-60.9789,13302,295,0,1640596874000.0
600,Saint Vincent and the Grenadines,,12.9843,-61.2872,5828,81,0,1640596874000.0
601,Samoa,,-13.759,-172.1046,3,0,0,1640596874000.0
602,San Marino,,43.9424,12.4578,7526,98,0,1640596874000.0
603,Sao Tome and Principe,,0.1864,6.6131,3758,57,0,1640596874000.0
604,Saudi Arabia,,23.885942,45.079162,552795,8871,0,1640596874000.0
605,Senegal,,14.4974,-14.4524,74412,1890,0,1640596874000.0
606,Serbia,,44.0165,21.0059,1290469,12594,0,1640596874000.0
607,Seychelles,,-4.6796,55.492,24249,131,0,1640596874000.0
608,Sierra Leone,,8.460555,-11.779889,6744,123,0,1640596874000.0
609,Singapore,,1.2833,103.8333,277764,822,0,1640596874000.0
610,Slovakia,,48.669,19.699,1349806,16398,0,1640596874000.0
611,Slovenia,,46.1512,14.9955,456057,5543,0,1640596874000.0
612,Solomon Islands,,-9.6457,160.1562,20,0,0,1640596874000.0
613,Somalia,,5.152149,46.199616,23532,1333,0,1640596874000.0
614,South Africa,,-30.5595,22.9375,3413540,90814,0,1640596874000.0
615,South Sudan,,6.877,31.307,14843,135,0,1640596874000.0
616,Spain,Andalusia,37.5443,-4.7278,882708,11439,0,1640596874000.0
617,Spain,Aragon,41.5976,-0.9057,191486,4047,0,1640596874000.0
618,Spain,Asturias,43.3614,-5.8593,86008,2136,0,1640596874000.0
619,Spain,Baleares,39.710358,2.995148,119510,1047,0,1640596874000.0
620,Spain,C. Valenciana,39.484,-0.7533,589559,8037,0,1640596874000.0
621,Spain,Canarias,28.2916,-16.6291,125949,1110,0,1640596874000.0
